left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,pose
180.0,180.0,163.3,164.4,111.4,112.4,111.7,111.7,Chair Pose
180.0,176.4,155.9,157.9,117.0,120.4,109.5,110.1,Chair Pose
180.0,174.0,165.5,158.3,113.8,118.3,107.3,105.8,Chair Pose
175.8,178.1,162.3,158.8,111.5,113.3,113.4,110.4,Chair Pose
180.0,180.0,161.0,162.7,117.9,117.5,115.9,109.0,Chair Pose
180.0,180.0,166.4,157.7,117.0,115.3,107.9,109.1,Chair Pose
180.0,177.5,159.1,158.0,116.2,112.7,109.7,115.9,Chair Pose
176.1,180.0,159.8,156.8,119.2,114.9,113.0,115.9,Chair Pose
180.0,180.0,160.1,163.6,114.7,112.2,110.2,101.7,Chair Pose
178.7,179.5,162.7,160.3,116.7,115.5,107.4,110.2,Chair Pose
180.0,179.7,162.2,163.1,121.7,117.1,115.6,114.6,Chair Pose
179.6,177.2,154.3,161.5,109.2,114.9,114.2,111.7,Chair Pose
179.6,180.0,166.0,160.1,114.7,114.8,109.6,114.9,Chair Pose
179.4,180.0,158.3,158.3,117.9,121.8,115.7,108.9,Chair Pose
180.0,180.0,160.0,161.5,114.4,116.8,114.7,111.4,Chair Pose
177.6,175.2,160.7,158.8,112.5,119.7,109.5,117.1,Chair Pose
174.4,180.0,163.0,158.6,111.3,105.1,111.0,107.6,Chair Pose
180.0,178.4,157.7,163.3,113.8,115.8,111.1,109.5,Chair Pose
180.0,180.0,167.0,156.2,118.3,112.4,103.2,104.1,Chair Pose
177.9,179.6,161.8,160.8,111.3,110.5,113.2,107.6,Chair Pose
180.0,177.2,154.8,157.0,114.9,110.2,114.2,110.1,Chair Pose
176.4,180.0,158.5,163.3,117.3,113.4,113.7,108.5,Chair Pose
180.0,179.8,157.3,161.0,115.9,114.9,111.2,106.5,Chair Pose
180.0,180.0,160.1,159.8,114.5,115.0,107.5,111.3,Chair Pose
180.0,180.0,159.3,166.1,117.7,109.8,110.5,110.9,Chair Pose
178.0,180.0,158.6,160.3,115.6,117.9,111.0,111.7,Chair Pose
177.3,180.0,161.5,157.3,118.6,110.3,110.3,113.4,Chair Pose
179.8,180.0,162.0,163.9,114.2,113.3,111.8,114.0,Chair Pose
180.0,177.3,162.1,158.1,110.4,110.4,110.5,112.4,Chair Pose
180.0,180.0,152.5,164.9,113.8,113.4,109.0,111.8,Chair Pose
