left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,pose
140.3,146.6,57.9,55.2,163.2,163.0,177.2,180.0,Cobra Pose
139.5,136.1,58.2,54.9,157.3,155.3,177.1,180.0,Cobra Pose
137.8,143.2,54.2,55.3,159.2,156.4,180.0,180.0,Cobra Pose
138.6,135.7,57.7,62.1,155.4,159.4,180.0,180.0,Cobra Pose
137.4,140.3,56.7,57.9,164.3,157.9,177.4,177.4,Cobra Pose
138.8,139.2,52.3,58.7,155.5,154.6,179.0,180.0,Cobra Pose
141.0,137.2,50.7,55.9,156.2,160.5,180.0,177.9,Cobra Pose
141.5,140.4,54.2,57.5,160.1,162.3,180.0,180.0,Cobra Pose
139.0,137.6,59.2,51.3,156.8,161.1,180.0,178.4,Cobra Pose
138.0,135.3,55.0,55.5,159.5,161.6,178.0,179.0,Cobra Pose
141.2,139.9,53.5,54.9,159.5,160.2,179.3,178.2,Cobra Pose
137.6,139.8,56.6,58.5,163.9,163.4,180.0,178.2,Cobra Pose
139.9,143.3,55.6,57.2,159.5,161.9,176.7,180.0,Cobra Pose
137.2,138.5,55.1,52.2,159.8,161.4,180.0,173.6,Cobra Pose
146.5,136.8,51.2,54.8,162.1,157.3,180.0,179.1,Cobra Pose
144.1,135.5,55.0,47.8,163.5,162.2,180.0,177.7,Cobra Pose
137.9,139.5,54.5,50.9,160.6,165.0,178.1,176.6,Cobra Pose
146.9,139.8,52.4,52.1,163.2,162.5,180.0,178.1,Cobra Pose
139.0,135.7,54.4,52.1,156.3,162.3,177.3,180.0,Cobra Pose
132.4,138.8,56.9,54.9,157.5,160.4,180.0,178.4,Cobra Pose
145.7,132.5,48.5,56.9,162.7,163.2,180.0,180.0,Cobra Pose
140.7,140.4,57.7,55.5,154.9,163.4,179.7,180.0,Cobra Pose
141.7,140.7,52.5,55.3,162.9,158.6,180.0,180.0,Cobra Pose
140.0,135.8,55.8,53.2,159.7,158.5,180.0,180.0,Cobra Pose
139.0,140.3,54.6,52.2,164.8,152.7,180.0,180.0,Cobra Pose
138.7,140.1,54.5,55.8,160.9,159.4,180.0,180.0,Cobra Pose
144.0,140.0,46.5,53.5,157.2,161.3,180.0,175.7,Cobra Pose
136.3,138.3,47.3,50.9,165.1,163.5,178.4,180.0,Cobra Pose
141.0,137.9,51.6,54.6,160.8,160.8,179.7,180.0,Cobra Pose
137.5,146.3,54.3,52.5,160.2,160.8,179.6,178.2,Cobra Pose
