left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,pose
180.0,177.2,14.2,15.8,180.0,177.5,176.3,178.6,Mountain Pose
175.5,180.0,10.0,8.4,180.0,178.9,177.1,173.9,Mountain Pose
177.4,176.9,15.6,19.4,179.1,177.9,177.3,178.8,Mountain Pose
180.0,176.0,15.4,4.3,178.8,180.0,180.0,180.0,Mountain Pose
180.0,176.7,16.4,8.7,180.0,176.1,180.0,176.2,Mountain Pose
177.8,179.0,18.9,12.6,176.8,180.0,180.0,174.9,Mountain Pose
180.0,173.2,11.0,18.2,180.0,179.0,180.0,180.0,Mountain Pose
180.0,179.3,16.9,9.4,176.8,180.0,179.1,176.9,Mountain Pose
180.0,180.0,16.3,18.3,180.0,178.5,180.0,178.7,Mountain Pose
179.4,180.0,14.2,15.5,180.0,175.7,178.2,180.0,Mountain Pose
180.0,175.8,14.2,19.1,177.7,180.0,179.0,174.2,Mountain Pose
177.7,175.9,12.9,16.7,180.0,180.0,176.2,179.1,Mountain Pose
180.0,180.0,12.5,15.1,180.0,176.8,179.2,175.6,Mountain Pose
180.0,178.4,14.5,12.6,180.0,180.0,180.0,179.5,Mountain Pose
180.0,180.0,19.4,17.9,180.0,178.0,173.2,180.0,Mountain Pose
180.0,178.9,14.4,18.7,180.0,178.4,178.3,180.0,Mountain Pose
178.5,180.0,17.2,14.3,180.0,180.0,180.0,177.5,Mountain Pose
180.0,179.1,15.7,16.8,180.0,177.5,178.6,180.0,Mountain Pose
180.0,177.1,10.1,18.3,177.3,180.0,177.3,180.0,Mountain Pose
179.8,178.3,16.2,14.2,180.0,180.0,177.0,179.8,Mountain Pose
180.0,180.0,10.8,16.9,180.0,180.0,180.0,180.0,Mountain Pose
177.3,180.0,12.7,13.0,177.4,177.2,174.8,180.0,Mountain Pose
173.4,180.0,21.8,18.1,180.0,180.0,180.0,180.0,Mountain Pose
178.3,180.0,13.7,6.3,180.0,180.0,175.4,178.1,Mountain Pose
180.0,180.0,10.4,11.7,180.0,176.1,180.0,177.7,Mountain Pose
180.0,180.0,12.3,18.0,177.9,180.0,176.7,180.0,Mountain Pose
176.3,174.1,12.6,6.5,180.0,180.0,180.0,177.0,Mountain Pose
180.0,177.5,15.7,14.3,180.0,180.0,180.0,178.2,Mountain Pose
180.0,180.0,14.5,17.8,177.5,179.7,177.3,178.6,Mountain Pose
180.0,177.4,15.1,18.7,180.0,180.0,180.0,180.0,Mountain Pose
