left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,pose
180.0,180.0,92.7,86.5,100.8,131.8,178.0,176.9,Triangle Pose
178.3,178.9,90.9,84.6,98.8,131.3,178.6,180.0,Triangle Pose
176.3,180.0,87.6,84.7,102.1,129.9,180.0,180.0,Triangle Pose
180.0,179.5,91.7,96.9,99.9,127.7,180.0,175.3,Triangle Pose
180.0,178.5,86.5,91.1,97.0,132.7,179.4,180.0,Triangle Pose
180.0,180.0,90.4,91.5,102.7,135.6,177.9,180.0,Triangle Pose
177.4,180.0,92.6,90.6,102.8,129.6,180.0,180.0,Triangle Pose
175.8,179.5,92.4,85.1,102.1,128.0,180.0,177.5,Triangle Pose
179.4,180.0,86.6,89.1,102.3,133.5,180.0,180.0,Triangle Pose
180.0,176.4,88.5,91.1,99.8,129.8,178.8,180.0,Triangle Pose
176.7,174.9,96.1,88.4,102.5,132.9,180.0,177.6,Triangle Pose
178.5,178.9,94.9,86.6,98.1,127.0,177.5,175.6,Triangle Pose
180.0,180.0,89.9,87.5,105.9,133.6,176.5,180.0,Triangle Pose
180.0,180.0,90.6,90.7,98.7,130.7,177.1,180.0,Triangle Pose
177.0,180.0,83.3,85.7,99.9,130.3,177.8,180.0,Triangle Pose
177.5,180.0,90.9,86.4,98.3,127.7,177.4,180.0,Triangle Pose
177.5,180.0,88.7,88.8,96.3,129.9,177.1,180.0,Triangle Pose
177.0,180.0,91.9,89.9,97.6,137.0,176.9,180.0,Triangle Pose
176.7,180.0,91.4,98.5,103.5,129.1,180.0,180.0,Triangle Pose
180.0,178.3,92.3,90.3,100.4,125.9,180.0,180.0,Triangle Pose
180.0,180.0,85.4,89.2,96.9,129.9,180.0,180.0,Triangle Pose
179.8,180.0,86.0,89.9,101.6,131.3,176.5,177.8,Triangle Pose
179.4,180.0,89.7,92.0,98.7,127.4,177.0,175.4,Triangle Pose
180.0,180.0,92.2,88.2,102.2,133.2,180.0,180.0,Triangle Pose
176.0,180.0,91.5,85.7,102.2,131.1,179.5,180.0,Triangle Pose
180.0,179.7,92.6,89.1,99.0,130.7,176.6,180.0,Triangle Pose
179.1,180.0,91.6,92.6,100.6,131.0,180.0,173.6,Triangle Pose
180.0,180.0,90.1,93.5,102.1,129.9,178.5,173.0,Triangle Pose
180.0,180.0,88.5,89.8,103.4,130.9,180.0,178.0,Triangle Pose
179.5,178.6,87.5,86.6,104.0,130.1,179.6,180.0,Triangle Pose
