left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,pose
180.0,179.5,90.5,90.3,111.5,151.5,90.6,179.4,Warrior II
175.0,172.7,89.0,86.4,111.1,153.7,87.4,180.0,Warrior II
177.5,180.0,90.5,91.1,107.6,152.5,89.1,180.0,Warrior II
180.0,176.9,91.0,92.2,109.1,144.7,88.6,180.0,Warrior II
180.0,180.0,90.6,91.2,114.8,148.1,94.8,180.0,Warrior II
180.0,179.8,89.3,95.2,112.6,144.1,86.3,179.3,Warrior II
180.0,180.0,87.9,92.0,109.0,146.5,88.0,178.7,Warrior II
180.0,176.7,92.6,93.6,116.2,150.3,86.6,177.6,Warrior II
180.0,180.0,90.9,91.3,105.0,152.5,93.7,180.0,Warrior II
179.8,179.4,86.8,91.7,113.0,150.5,91.4,175.6,Warrior II
180.0,176.3,83.2,91.1,107.9,149.2,89.8,173.8,Warrior II
180.0,180.0,94.4,92.3,109.5,151.0,87.7,180.0,Warrior II
180.0,180.0,85.7,85.2,109.9,150.7,91.1,178.0,Warrior II
180.0,180.0,93.2,90.1,104.7,153.6,86.2,180.0,Warrior II
179.4,180.0,88.8,94.1,109.0,148.8,86.9,179.4,Warrior II
177.4,179.4,89.6,91.7,112.3,149.3,91.7,180.0,Warrior II
180.0,180.0,85.8,85.7,104.5,148.5,88.7,179.8,Warrior II
175.2,179.6,89.2,92.5,107.0,149.5,84.4,180.0,Warrior II
180.0,179.3,93.8,85.5,112.5,149.5,96.2,179.9,Warrior II
180.0,173.9,89.8,92.6,111.5,150.5,86.2,180.0,Warrior II
179.4,180.0,93.6,92.8,114.8,153.5,91.8,180.0,Warrior II
173.3,178.1,83.5,85.7,110.7,148.5,86.9,176.2,Warrior II
180.0,177.7,86.8,90.2,111.6,147.7,84.2,180.0,Warrior II
180.0,179.5,91.1,86.5,109.4,148.0,91.3,175.3,Warrior II
180.0,180.0,89.6,90.9,107.6,144.7,87.9,178.6,Warrior II
176.7,178.9,93.8,92.5,112.3,148.2,87.5,179.0,Warrior II
180.0,180.0,88.6,95.7,105.0,150.3,90.4,180.0,Warrior II
180.0,179.0,85.7,85.2,109.5,150.8,88.3,180.0,Warrior II
180.0,180.0,91.4,86.8,111.0,154.7,86.1,180.0,Warrior II
180.0,178.0,87.0,89.4,105.4,153.1,92.0,179.1,Warrior II
